JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2458199.65757	8.019	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65814	8.027	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65870	8.040	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65927	8.013	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65983	8.015	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66040	8.009	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66096	7.984	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66153	7.989	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66209	7.959	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66266	7.966	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66323	7.961	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66379	7.949	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66436	7.956	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66492	7.946	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66549	7.937	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66605	7.943	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66662	7.932	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66717	7.914	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66773	7.927	0.015		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66830	7.911	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66887	7.914	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.66943	7.908	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67000	7.918	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67056	7.899	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67113	7.896	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67169	7.891	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67226	7.886	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67282	7.874	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67339	7.870	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67395	7.863	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67452	7.888	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67508	7.880	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67565	7.854	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67621	7.862	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67678	7.864	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67734	7.837	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67791	7.864	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67847	7.843	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67904	7.834	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.67961	7.865	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68017	7.836	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68074	7.834	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68130	7.822	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68187	7.814	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68243	7.822	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68300	7.823	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68356	7.819	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68413	7.827	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68470	7.805	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68526	7.812	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68583	7.822	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68638	7.806	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68695	7.814	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68751	7.801	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68808	7.799	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68864	7.791	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68921	7.788	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.68977	7.787	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69034	7.798	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69090	7.793	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69147	7.778	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69203	7.773	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69260	7.776	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69316	7.782	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69373	7.782	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69430	7.781	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69486	7.774	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69543	7.775	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.69599	7.766	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
